Story,Task,Estimate Min (hr),Estimate Max (hr),Actual,Comment
Project Setup,"Env Setup, Project boilerplate and initial estimates.csv commit.",2,3,3,
Database Design,"Schema design (User,Task, Resume Tables) and Supabase migration",2,4,3.5,
Auth,JWT-based Authentication,1.5,2.5,1.5,
Core API,Task & User CRUD endpoints,3,4,4,
AI Assist ,/ai/suggest Generate task description,2,4,3.5,
Resume CRUD,Resume CRUD endpoints,2,4,4,
RAG,"/ai/suggest Implement ""Best-Fit"" user search",2.5,5,5,
Ops & Obs,"Structured logging, Prometheus metrics, and error handling. ",1.5,3,3,
Testing,Unit tests for logic + integration test for AI stub.,1,2,1.5,
Containerization,Dockerfile and docker-compose setup,1.5,3,,
Deployment,Cloud deployment (Render),2,4,,
Project Walkthrough,README documentation and Loom demo recording.,3,6,,
Total,,22.5,41.5,,
